Act_Name, Year, File_Name,
Gujarat Carriage of Goods Taxation (Amendment) Act, 1962,	
Bombay Rents, Hotel and Lodging House Rates Control (Gujarat Amendment) Act,	 2011	
Gujarat Closed Textile Undertakings (Nationalisation) (Amendment) Act, 1986,	
Bombay Prohibition (Gujarat Amendment) Act, 2009,	
Gujarat Tax on Entry of Specified Goods into Local Areas Act, 2001,	
Bombay Finance (Gujarat Amendment) Act, 1961,	
Gujarat Lifts and Escalators Act, 2000,	
Bombay Land Revenue (Gujarat Amendment and Validation) Act, 1981,	
Bombay Prevention of Gambling (Gujarat Amendment) Act, 2003,	
Bombay Stamp (Gujarat Amendment) Act, 1999,	
Gujarat State Legislature (Delegation of Powers) Act, 1976,	
Bombay Land Revenue (Gujarat Second Amendment) Act, 1995,	
Bombay Land Revenue (Gujarat Amendment) Act, 1989,	
Bombay Labour Welfare Fund (Gujarat Amendment) Act, 1973,	
Bombay Irrigation (Gujarat Amendment) Act, 1973,	
Bombay Electricity Duty (Gujarat Amendment) Act, 1999,	
Gujarat Backward Classes Development Corporation Act, 1985,	
Gujarat Irrigation and Drainage Act, 2013,	
Gujarat State Guarantees (Amendment) Act, 1964,	
Bombay Motor Vehicles Tax and the Bombay Sales of Motor Spirit Taxation (Gujarat Amendment) Act, 1960,	
Bombay Electricity Duty (Gujarat Amendment) Act, 1961,	
Bombay Land Revenue (Gujarat Amendment) Act, 2011,	
Bombay Stamp (Gujarat Amendment) Act, 1991,	
Bombay Stamp (Gujarat Amendment) Act, 1998,	
Bombay Land Revenue (Gujarat Amendment) Act, 1981,	
Bombay Land Improvement Schemes (Gujarat Amendment) Act, 1981,	
Bombay Tenancy and Agricultural Lands (Gujarat Amendment) Act, 1972,	
Bombay Sales of Motor Spirit Taxation (Gujarat Amendment) Act, 1987,	
Bombay Irrigation (Gujarat Amendment) Act, 1976,	
Bombay Labour Welfare Fund Act, 1953,	 1957_T_28.txt	
Bombay Tenancy and Agricultural Lands (Gujarat Amendment) Act, 1973,	
Gujarat Special Economic Zone Act, 2004,	
Gujarat Tax on Luxuries (Hotels and Lodging Houses) (Amendment) Act, 1993,	
Gujarat Private Universities (Amendment) Act, 2011,	
