Act_Name, Year, File_Name,
Punjab Livestock Improvement Act, 1953,	
Punjab Advocates Welfare Fund (Amendment) Act, 2014,	
Punjab Laws (Extension No 6) Act, 1959,	
Punjab Value Added Tax (Amendment) Act, 2008,	
East Punjab Holdings (Consolidation and Prevention of Fragmentation) Act, 2007,	
Punjab Laws (Extension No. 5) Act, 1958,	
Punjab Co-operative Land Mortgage Banks Act, 1957,	
Punjab Motor Spirit (Taxation of Sales) Haryana Amendment Act, 1982,	
Punjab Laws (Extension No. 10) Act, 1961,	
East Punjab Urban Rent Restriction (Amendment) Act, 1949,	
Punjab Right to Service (Amendment) Act, 2016,	
Punjab Rural Development (Amendment) Act, 2016,	
Punjab Rural Development (Amendment) Ordinance, 2016,	
Punjab Package Deal Properties (Disposal) Act, 1976,	 1987_P_24.txt	 2004_K_59.txt	
Punjab Laws (Application) Act, 1957,	
Punjab Reorganisation Act, 1966,	 1973_S_119.txt	 1997_B_16.txt	 2010_B_31.txt	 1983_S_68.txt	 1986_S_114.txt	 1995_U_136.txt	 1966_U_13.txt	 2008_K_142.txt	 2017_R_98.txt	 1994_U_151.txt	 1986_B_4.txt	 1995_P_73.txt	 1988_S_121.txt	 1998_U_144.txt	 1995_D_58.txt	 2018_S_7.txt	 2014_O_14.txt	 1987_B_53.txt	 2000_A_218.txt	 2016_P_1.txt	 2001_H_39.txt	 1999_B_83.txt	 2016_S_1.txt	 1989_U_89.txt	 2011_U_39.txt	 1979_U_30.txt	 1986_S_112.txt	 1981_D_33.txt	 1983_C_2.txt	 1998_S_99.txt	 1996_T_244.txt	 2011_B_23.txt	 2004_S_324.txt	 1989_H_22.txt	 1994_S_391.txt	
Punjab Value Added Tax (Third Amendment) Act, 2011,	
Punjab Mechanical Vehicles (Bridge Tolls) (Repeal) Act, 1976,	
Code of Criminal Procedure (Punjab Amendment) Act, 1940,	
Punjab Value Added Tax (Amendment) Act, 2014,	
Essential Commodities (Punjab Amendment) Act, 1959,	
Indian Forest (Punjab Amendment) Act, 1962,	
Punjab Infrastructure Development Act, 1998,	
Punjab State Legislature (Prevention of Disqualification) Amendment Act, 2015,	
East Punjab Police (Protection of Railways) Act, 1947,	
Punjab Local Option Act, 1923,	
Punjab Special Powers (Press) Act, 1956,	 1962_T_44.txt	 1957_V_5.txt	 1992_M_69.txt	 2012_S_17.txt	
PEPSU Tenancy and Agricultural Lands Act, 1955,	 1996_S_918.txt	 1979_S_38.txt	 1985_R_31.txt	
Land Acquisition (East Punjab Amendment) Act, 1948,	
Punjab Water Supply and Sewerage Board (Amendment) Act, 2013,	
Prison (Punjab Amendment) Act, 1926,	
Punjab Security of Land Tenures (Amendment) Act, 2013,	
Surya World University Act, 2015,	
Punjab Motor Vehicles Taxation (Amendment) Act, 2014,	
Sri Guru Ram Das University of Health Sciences Act, 2016,	
Punjab (Institutions and Other Buildings) Tax Act, 2011,	
Punjab Regional and Town Planning and Development (Amendment) Act, 2013,	
Punjab Khadi and Village Industries Board Act, 1955,	
Punjab Laws (Extension No. 9) Act, 1960,	
Punjab Land Revenue (Special Charges) Act, 1958,	
Punjab Protection of Medicare Service Persons and Medicare Service Institutions (Prevention of Violence and Damage to Property) Act, 2008,	
Punjab District Boards (Tax-Validating) Act, 1927,	
Land Acquisition (Punjab Amendment) Act, 1969,	
Punjab Municipal (Tax- Validating) Act, 1934,	
Punjab Motor Transport Vehicles (Toll) Act, 1992,	
Maharaja Ranjit Singh State Technical University Ordinance, 2014,	
Punjab Finance Commission for Panchayats and Municipalities Act, 1994,	
Northern India Canal and Drainage (Amendment) Ordinance, 2014,	
Punjab Mechanical Vehicles (Bridges and Roads Tolls) Amendment Act, 2005,	
Maharaja Ranjit Singh State Technical University Act, 2014,	
Punjab Appropriation Act, 2015,	
