ActName, ActYear, File Names
Rajasthan Panchayati Raj Act, 1994, 2018_S_27.txt, 2015_G_44.txt, 1999_R_79.txt
Jaipur Laws (Validating) Act, 1952, 2008_T_45.txt
Rajasthan Stamp Act, 1998, 2011_S_423.txt
Rajasthan Review and Validation of Rent-Rates (Revival) Repeal Act, 1957
Rajasthan Finance Act, 2007
Mody University of Science and Technology, Lakshmangarh (Sikar) Act, 2013
Rajasthan Lokayukta and Up-Lokayuktas Act, 1973, 2011_V_15.txt
University of Rajputana (Second Amendment) Act, 1950
Rajasthan Relief of Agricultural Indebtedness Act, 1957
Rajasthan Lands (Restrictions on Transfer) Act, 1976, 2013_S_532.txt
Rajasthan Divisional Commissioner (Office Abolition) Act, 1962
Rajasthan Court-fees and Suits Valuation Act, 1961
Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur (Amendment) Act, 2015
Rajasthan Weights and Measures (Enforcement) Act, 1958
Rajasthan Legislative Assembly Members (Removal of Disqualification) Act, 1956
Rajasthan Jagirdars Compensation and Rehabilitation Grants (Final Orders Validation) Act, 1959
Rajasthan Agricultural Produce Markets (Amendment) Act, 2013
Rajasthan Public Examination (Prevention of Unfair Means) Act, 1992
Rajasthan Appropration (No. 1) Act, 2014
Rajasthan Municipal Elections (Validating) Act, 1961
Rajasthan Land Laws (Amendment) Act, 2014
Rajasthan Appropriation (No. 3) Act, 2011
Rajasthan Maharana Pratap University of Agriculture and Technology, Udaipur Act, 2000
RIICO Industrial Areas (Prevention of Unauthorised Development and Encroachment) Act, 1999
Rajasthan Motor Vehicles Taxation Act, 1951, 1998_S_470.txt, 1989_S_237.txt, 1967_S_70.txt, 2003_S_416.txt, 1961_M_56.txt, 1962_T_3.txt, 2005_M_20.txt, 2009_S_603.txt, 1983_S_106.txt, 1991_S_130.txt, 2016_S_244.txt, 1996_S_721.txt
Rajasthan Excise Act, 1950, 2008_S_682.txt, 2001_S_1096.txt, 2014_K_61.txt, 1993_S_507.txt, 1975_S_224.txt, 2006_C_97.txt, 1992_N_13.txt, 1997_M_225.txt, 2009_C_133.txt, 1994_S_146.txt
Rajasthan Right to Hearing (Amendment) Act, 2014
Rajasthan Appropration (No. 4) Act, 2015
Rajasthan Finance Act, 1982
Rajasthan Public Service Commission (Regulation and Validation of Procedure) Act, 1976
University of Rajasthan (Amendment) Act, 1978
Factories (Rajasthan Amendment) Act, 2014
Rajasthan Laws Repealing and Amending Act, 1962
Rajasthan Ropeways Act, 1996
Rajasthan Municipalities (Second Amendment) Act, 2011
Agriculture University, Kota Act, 2013
Rajasthan Civil Courts (Amendment) Act, 2014
Rajasthan Shops and Commercial Establishments (Employees Life Insurance) Act, 1987
University of Rajasthan (Amendment) Act, 1974
Rajasthan Validation of Execution of Certain Leases, Licenses and Agreements Act, 1987
University of Rajasthan (Amendment) Act, 1973
Rajasthan Sales Tax (Amendment) Act, 1994
Jaipur Development Authority (Amendment) Act, 2010
Jaipur Municipality Administration (Temporary Provisions) Act, 1960
Rajasthan Ayurved University (Change of Name) Act, 2011
Rajasthan Public Trusts Act, 1959, 1973_S_75.txt
Code of Civil Procedure (Rajasthan Amendment) Act, 1958
Rajasthan Stamp (Amendment) Act, 2011
Rajasthan Land Reforms and Acquisition of Land Owners Estates Act, 1963
Tantia University, Sri Ganganagar Act, 2013
Rajasthan Anti-Ejection Officers Proceedings and Decisions (Validation) Act, 1955
Rajasthan State Bus Terminal Development Authority Act, 2015
Rajasthan Agricultural Produce Markets Act, 1961, 1990_S_186.txt, 2017_S_521.txt, 2006_S_571.txt
Rajasthan Public Premises (Eviction of Unauthorised Occupants) Act, 1964
NIIT University, Neemrana (Alwar) Act, 2010
Rajasthan Secondary Education Act, 1957
Rajasthan Laws (Amendment) Act, 2012
Rajasthan non-Trading Companies Act, 1960
Rajasthan Land Development Corporation Act, 1975
Rajasthan Laws Repealing Act, 1997
Jaipur Metals and Electricals Limited (Acquisition of Shares) Act, 1986
University of Kota (Amendment) Act, 2012
Rajasthan Appropration (No. 3) Act, 2013
University of Rajasthan (Amending and Validating) Act, 1964
Rajasthan Ministers' Salaries (Amendment) Act, 2010
University of Engineering and Management, Jaipur Act, 2012
Rajasthan Sales Tax Act, 1994, 2005_K_109.txt, 2004_J_9.txt, 2003_E_3.txt, 2001_D_3.txt, 2008_M_116.txt, 2007_C_105.txt, 2007_M_56.txt, 2007_C_140.txt, 2011_M_29.txt, 2011_S_91.txt, 2006_R_40.txt, 2008_S_1161.txt, 2006_M_290.txt, 2012_S_222.txt, 2000_S_601.txt, 2010_M_232.txt, 2007_C_103.txt, 2004_R_59.txt, 2007_C_104.txt, 2010_M_79.txt, 2018_C_10.txt, 2015_H_36.txt
Rajasthan Land Revenue Act, 1956, 1995_P_31.txt, 1978_R_45.txt, 2002_S_169.txt, 2003_R_31.txt, 1989_S_146.txt, 2017_N_43.txt, 2000_P_184.txt, 2015_L_10.txt, 1967_R_39.txt, 1995_S_619.txt
Maulana Azad University, Jodhpur Act, 2013
Rajasthan Universities Teachers and Officers (Selection For Appointment) Act, 1974
Nathdwara Temple Act, 1959, 1963_S_103.txt
Rajasthan Shops and Commercial Establishments Act, 1958, 2004_T_4.txt
Rajasthan Civil Services (Service Matters Appellate Tribunals) Act, 1976
Brij University, Bharatpur Act, 2012
Rajasthan State Commission for Women Act, 1999
Rajasthan Warehouses Act, 1958
Rajasthan Lakes (Protection and Development) Authority Act, 2015
Rajasthan Finance Act, 2012
Rajasthan Panchayati Raj (Second Amendment) Act, 2015
Rajasthan State Highways Act, 2014
Rajasthan Public Parks Act, 1956
Rajasthan Tendu Leaves (Regulation of Trade) Act, 1974
Brij University, Bharatpur (Change of Name) Act, 2014
Rajasthan Ayurved Nursing Council Act, 2012
Rajasthan Highways Act, 1995
Rajasthan Universities Teachers (Absorption of Temporary Lecturers) Act, 1979, 1985_S_104.txt
Rajasthan Jagirdars Debt Reduction Act, 1956
Rajasthan Tenancy (Amendment) Act, 2010
Rajasthan Technical University Act, 2006
Rajasthan Bovine Animal (Prohibition of Slaughter and Regulation of Temporary Migration or Export) Act, 1995
Rajasthan Appropriation (No. 1) Act, 2011
Rajasthan Animal Diseases Act, 1959
University of Kota Act, 2003
Rajasthan Vaccination Act, 1957
Rajasthan Local Fund Audit Act, 1954
Rajasthan Water Resources Regulatory Act, 2012
Rajasthan Religious Buildings and Places Act, 1954
Rajasthan Land Tax Act, 1985, 1991_S_294.txt
Rajasthan Cash Jagirs Abolition Act, 1958, 1975_S_117.txt
Rajasthan Rehabilitation Loans Act, 1951
Poornima University, Jaipur Act, 2012
Rajasthan Societies Registration Act, 1958
Rajasthan Kasar Bhom Abolition Act, 1961
Rajasthan Money-Lenders Act, 1963
Dr. Bhimrao Ambedkar Law University, Jaipur Act, 2012
OPJS University, Churu Act, 2013
